LDN,Elev,GDP,Nt,Pop,Pre,Tem
1,0.24495,0.0071926,0,0.0004587,0.359414,0.812993
1,0.244347,0.0053767,0,0.0001793,0.336719,0.823692
1,0.269973,0.0009951,0,0.0000924,0.353527,0.840545
-1,0.220832,0.003709,0,0.0006479,0.473279,0.89019
1,0.292131,0.0172161,0.0412698,0.0010565,0.345261,0.736928
1,0.203045,0.001638,0,0.0002747,0.269136,0.895336
1,0.206964,0.0026845,0,0.0009998,0.373456,0.85352
1,0.238167,0.0067827,0.206349,0.0018895,0.533656,0.851704
1,0.28173,0.0203803,0,0.0004899,0.350988,0.779188
1,0.413778,0.0031232,0,0.0001198,0.293179,0.689149
1,0.29801,0.0017939,0,0.0003251,0.28022,0.814307
-1,0.168677,0.0018241,0,0.0007558,0.439478,0.895258
1,0.280977,0.0024682,0,0.000162,0.637182,0.789105
1,0.283389,0.0184998,0,0.0012162,0.381226,0.779961
1,0.322581,0.0036092,0,0.000688,0.29521,0.75927
1,0.360567,0.0012926,0,0.0002525,0.343767,0.713086
1,0.336298,0.0016768,0,0.0002487,0.470492,0.776931
1,0.199126,0.0014831,0,0.0002057,0.456827,0.86621
0,0.0779319,0.0032132,0.0285714,0.0027037,0.560208,0.959259
1,0.265601,0.0046325,0,0.0003389,0.521408,0.800025
1,0.350769,0.003847,0,0.0003458,0.445531,0.762718
1,0.201085,0.0010079,0,0.0003476,0.519454,0.886108
1,0.353331,0.0036816,0,0.0000702,0.288457,0.740739
1,0.341724,0.0099479,0,0.0005528,0.320516,0.747178
1,0.162345,0.0009174,0,0.0004754,0.571719,0.939827
1,0.137474,0.0041312,0,0.0001435,0.586537,0.951011
1,0.271932,0.0059948,0,0.0003542,0.348819,0.798621
1,0.300573,0.0035214,0,0.0001061,0.369053,0.778
-1,0.190684,0.003382,0.0142857,0.0007998,0.46222,0.919113
0,0.231384,0.0028091,0.0325397,0.0042241,0.28697,0.869734
1,0.440609,0.0060493,0,0.0003486,0.403612,0.661234
0,0.192795,0.0030279,0.0920635,0.0002642,0.370124,0.895325
1,0.205607,0.0037447,0.0055556,0.0010971,0.243184,0.926933
1,0.207567,0.0013361,0,0.0002519,0.445169,0.881112
1,0.371872,0.0071361,0,0.0001337,0.295931,0.714095
1,0.167471,0.0017736,0,0.0002128,0.513259,0.933563
1,0.270274,0.0042228,0,0.0004869,0.39494,0.813938
0,0.302382,0.128821,0.173016,0.0002325,0.326852,0.765551
1,0.282183,0.0066248,0,0.0004552,0.298637,0.805431
1,0.259873,0.0057263,0,0.0006178,0.345161,0.797879
1,0.305095,0.020169,0,0.0005447,0.446174,0.754664
-1,0.477088,0.0013605,0,0.0001629,0.332333,0.636959
1,0.324239,0.0027063,0,0.0009694,0.303304,0.752315
1,0.303286,0.0051534,0,0.0003154,0.396661,0.814259
1,0.222641,0.0040929,0.0206349,0.0003611,0.363673,0.858891
1,0.24088,0.0038624,0,0.0001006,0.553399,0.869951
1,0.23877,0.0067909,0.495238,0.004994,0.446259,0.852607
1,0.264245,0.0019199,0,0.0003389,0.363888,0.846675
1,0.311275,0.006924,0,0.0004221,0.462381,0.82087
1,0.288815,0.0016241,0,0.0001953,0.284885,0.811746
1,0.25505,0.0017931,0,0.0003095,0.519592,0.853192
1,0.425234,0.0030504,0,0.0004228,0.292993,0.673504
0,0.225053,0.0032316,0,0.0006116,0.32515,0.879578
1,0.266204,0.0022663,0,0.0002665,0.518603,0.839669
1,0.295749,0.0016974,0,0.0002818,0.280563,0.790468
1,0.321827,0.001068,0,0.0002604,0.418176,0.813878
1,0.357251,0.0003936,0,0.0002109,0.432153,0.698375
1,0.352578,0.0025411,0,0.000466,0.312885,0.723031
1,0.234248,0.0019605,0,0.000244,0.547621,0.879779
1,0.278565,0.0017457,0,0.0002167,0.400963,0.827959
1,0.233645,0.0033369,0,0.000508,0.375878,0.866062
1,0.105668,0.003324,0,0.0009035,0.511047,0.956267
-1,0.149834,0.0020152,0,0.0003315,0.542671,0.946213
1,0.172596,0.0009244,0,0.0002468,0.534751,0.919121
1,0.331022,0.0039047,0,0.0004413,0.434776,0.776103
1,0.172897,0.0009901,0,0.0008864,0.588975,0.901325
1,0.197317,0.0014782,0,0.0006803,0.532861,0.90575
1,0.210582,0.0043791,0,0.0000921,0.543978,0.875639
1,0.354387,0.0017146,0.0031746,0.000551,0.402759,0.733183
0,0.171541,0.0033093,0,0.0002509,0.386288,0.885024
1,0.277661,0.0044665,0,0.0019533,0.311902,0.801947
0,0.124209,0.0048833,0.0579365,0.0062362,0.596872,0.942574
-1,0.169581,0.0011348,0,0.0005028,0.51724,0.895708
1,0.283087,0.0029887,0.0119048,0.0008451,0.356475,0.794095
1,0.272988,0.0030922,0,0.000706,0.428192,0.805984
1,0.233494,0.0034357,0,0.0002344,0.256021,0.899143
1,0.321073,0.002576,0,0.0001147,0.477504,0.763318
1,0.169279,0.0011169,0,0.0006461,0.520172,0.901971
-1,0.370214,0.0047716,0,0.0018429,0.514364,0.70917
1,0.237715,0.0025523,0,0.000311,0.587431,0.862544
1,0.284293,0.0070591,0,0.0002018,0.281788,0.769694
1,0.217817,0.0037485,0,0.0002323,0.461422,0.90075
1,0.436539,0.0016822,0,0.0002761,0.32607,0.653352
1,0.130238,0.0022232,0,0.0003169,0.538215,0.96114
1,0.376093,0.0144529,0,0.0005643,0.322408,0.719865
1,0.342177,0.0163149,0,0.0001784,0.338771,0.731225
-1,0.278716,0.0272518,0.136508,0.0077132,0.341986,0.784568
1,0.296051,0.0029917,0,0.0001044,0.608665,0.778566
1,0.178173,0.0014706,0,0.0001036,0.510899,0.901508
1,0.313989,0.0033001,0,0.000369,0.578776,0.765363
0,0.31022,0.141379,0,0.0002881,0.337402,0.772905
-1,0.187971,0.0027237,0,0.00046,0.586502,0.896042
1,0.26319,0.0151726,0.0150794,0.0008455,0.313141,0.78757
1,0.352427,0.003635,0,0.0002306,0.434401,0.748631
1,0.346096,0.0048721,0,0.0001545,0.507965,0.763852
1,0.359059,0.0039157,0,0.0001727,0.289951,0.747589
0,0.240579,0.0073272,0.0174603,0.0030613,0.288379,0.87194
1,0.290323,0.0023529,0,0.0005425,0.277852,0.785009
1,0.227615,0.001156,0,0.0011001,0.380651,0.823656
1,0.118179,0.0012299,0,0.0003941,0.670606,0.960517
-1,0.235303,0.0019372,0,0.0003415,0.506571,0.859639
1,0.245252,0.0029805,0,0.0003238,0.37054,0.816356
1,0.287609,0.0097833,0,0.0004283,0.304611,0.77988
1,0.278716,0.0054482,0,0.0003185,0.373989,0.78895
1,0.177269,0.001085,0,0.0003244,0.399265,0.903953
1,0.151945,0.0011855,0,0.0000932,0.498676,0.886661
1,0.24284,0.0020285,0,0.0005327,0.48724,0.862287
1,0.248719,0.0013915,0,0.0002018,0.473042,0.838696
-1,0.339614,0.0022576,0,0.0002832,0.336201,0.73191
1,0.178022,0.002666,0,0.0042113,0.394227,0.916292
1,0.250226,0.0044848,0,0.0008687,0.404512,0.819713
1,0.317456,0.0177017,0.0166667,0.000299,0.336604,0.755596
1,0.219626,0.0008991,0,0.0004173,0.55195,0.872608
1,0.225505,0.001812,0,0.0002882,0.499035,0.894841
1,0.365843,0.001246,0,0.0003217,0.391611,0.707766
1,0.118933,0.0016009,0,0.0001681,0.54938,0.939957
1,0.317003,0.0044351,0,0.0003906,0.428775,0.751512
1,0.250226,0.0043305,0,0.0003167,0.381552,0.826894
1,0.199276,0.0018232,0,0.0003005,0.40875,0.897215
1,0.273138,0.0077143,0.0325397,0.0019722,0.380701,0.801716
1,0.355894,0.0031087,0,0.0005906,0.327461,0.705353
1,0.202743,0.0017025,0,0.000129,0.506389,0.866612
1,0.157974,0.0016779,0,0.0004731,0.447071,0.893031
-1,0.224902,0.0045292,0,0.0004407,0.367828,0.87312
1,0.296503,0.0057259,0,0.001862,0.280987,0.787625
-1,0.115617,0.003078,0.0333333,0.0013105,0.515328,0.963797
1,0.621345,0.0024327,0,0.000018,0.317309,0.418406
-1,0.333434,0.0024798,0,0.0002192,0.274998,0.773205
0,0.151794,0.0023803,0,0.0003613,0.518532,0.935866
-1,0.313386,0.0085981,0,0.0012077,0.297113,0.770954
1,0.223244,0.0052994,0,0.0007104,0.329775,0.823705
1,0.347,0.0025085,0,0.0003732,0.288179,0.736736
